from club,to club,league,player name,age,position,fee,transfer type,period,year,season,tranfer between
Atlético Madrid,FC Barcelona,Primera Division,Miquel Soler,27,Left-Back,NA,sold,Summer,1992,1992/1993,local
CD Tenerife,FC Barcelona,Primera Division,Quique Estebaranz,26,Centre-Forward,NA,sold,Summer,1992,1992/1993,local
FC Barcelona,Burgos CF,Primera Division,Sebastián Herrera,23,Centre-Back,NA,on loan,Summer,1992,1992/1993,local
FC Barcelona,Dep. La Coruña,Primera Division,Ricardo Serna,28,Centre-Back,NA,sold,Winter,1992,1992/1993,local
FC Barcelona,Deportivo de La Coruña,Primera Division,Ricardo Serna,28,Centre-Back,NA,sold,Winter,1992,1992/1993,local
FC Barcelona,Rayo Vallecano,Primera Division,Javi García,22,Forward,NA,sold,Summer,1992,1992/1993,local
FC Barcelona,Real Madrid,Primera Division,Nando,24,Centre-Forward,NA,sold,Summer,1992,1992/1993,local
FC Barcelona,Real Oviedo,Primera Division,Cristóbal Parralo,24,Right-Back,NA,sold,Summer,1992,1992/1993,local
FC Barcelona,Sporting Gijón,Primera Division,Thomas Christiansen,19,Centre-Forward,NA,on loan,Winter,1992,1992/1993,local
Hajduk Split,FC Barcelona,Primera Division,Goran Vucevic,21,Central Midfield,0.45M,sold,Summer,1992,1992/1993,local
RCD Mallorca,FC Barcelona,Primera Division,Sebastián Herrera,23,Centre-Back,NA,on loan,Summer,1992,1992/1993,local
Real Zaragoza,FC Barcelona,Primera Division,Pablo Alfaro,23,Centre-Back,1.35M,sold,Summer,1992,1992/1993,local
FC Barcelona,CA Osasuna,Primera Division,Thomas Christiansen,20,Centre-Forward,NA,on loan,Summer,1993,1993/1994,local
FC Barcelona,FC Barcelona,Primera Division,Óscar García,20,Attacking Midfield,NA,sold,Summer,1993,1993/1994,local
FC Barcelona,FC Barcelona,Primera Division,Sergi Barjuán,21,Left-Back,NA,sold,Summer,1993,1993/1994,local
FC Barcelona,FC Girondins Bordeaux,Ligue 1,Richard Witschge,23,Central Midfield,NA,sold,Summer,1993,1993/1994,international
FC Barcelona,G. Bordeaux,Primera Division,Richard Witschge,23,Central Midfield,NA,sold,Summer,1993,1993/1994,international
FC Barcelona,Racing Santander,Primera Division,Pablo Alfaro,24,Centre-Back,NA,sold,Summer,1993,1993/1994,local
FC Barcelona,Real Oviedo,Primera Division,Lluís Carreras,20,Left-Back,NA,on loan,Summer,1993,1993/1994,local
FC Barcelona,Retired,Primera Division,José Ramón Alexanko,37,Sweeper,NA,sold,Summer,1993,1993/1994,international
