Club name,Country,League,Total Market Value (in M),Squad size,Average age,Number of national team players
1. FC Brno,,,,,,
1. FC Köln,Germany,Bundesliga,67.96,28,24.9,10
1.FC Bocholt,Germany,Landespokal Niederrhein,,23,25.7,4
1.FC Doppeltest,,,,,,
1.FC Eislingen,Germany,Landespokal Württemberg,,26,28.9,8
1.FC Eschborn,Germany,Hessenliga,,0,,
1.FC Heidenheim,Germany,2. Bundesliga,15.93,26,25.3,2
1.FC K'lautern,Germany,3. Liga,6.68,28,25.1,4
1.FC Kaiserslautern,Germany,3. Liga,6.68,28,25.1,4
1.FC Kleve,Germany,Landespokal Niederrhein,,22,25.8,1
1.FC Köln,Germany,Bundesliga,67.96,28,24.9,10
1.FC Magdeburg,Germany,3. Liga,6.73,30,24.2,6
1.FC Miltach,Germany,,,3,28.0,1
1.FC Nuremberg,Germany,2. Bundesliga,22.93,28,25.5,5
1.FC Passau,Germany,Landesliga Bayern-Mitte,,25,23.7,3
1.FC Pforzheim,Germany,,,4,28.0,2
1.FC Saarbrücken,Germany,3. Liga,4.50,24,26.0,2
1.FC Sand,Germany,Bayernliga Nord,,22,24.6,1
1.FC Union Berlin,Germany,Bundesliga,64.44,27,27.4,11
1.FC Viersen,Germany,Landesliga Niederrhein - Gruppe 1,,24,25.2,5
1.FK Pribram,Czech Republic,Fortuna Narodni liga,2.79,22,24.5,2
1.FSV Mainz 05,Germany,Bundesliga,109.85,25,25.1,13
1.FSV Schwerin,Germany,1.DDR-Liga Staffel A,,0,,
1.JFS Köln,Germany,,,1,20.0,0
1.SC Feucht,Germany,Bayernliga Nord,,23,27.2,2
12 de Octubre,Paraguay,Primera División Apertura,3.47,30,29.9,3
15 de Novembro,Brazil,,,0,,
1860 München,Germany,3. Liga,5.42,29,23.9,5
1º Dezembro,,,,,,
1º de Agosto,,,,,,
29 de Setiembre,Paraguay,,,1,28.0,0
3 de Febrero,Paraguay,,293,14,28.2,3
4.25 SC,"Korea, North",AFC Cup,4.43,29,27.3,0
A. Aachen,Germany,A-Junioren Bundesliga West,9,24,18.0,7
A. Bielefeld,Germany,Oberliga Westfalen,,0,,
A. Klagenfurt,Austria,Bundesliga,10.69,34,24.3,19
A. Ludwigshafen,Germany,Landespokal Südwest,,25,25.2,6
A. Lustenau,Austria,2. Liga,5.47,27,22.3,12
A. Malagueño,Spain,Promoción de ascenso a Segunda RFEF,1.17,21,19.7,6
A. Salbris Sports,France,,,0,,
A. Salzburg,Austria,Regionalliga Salzburg,,26,23.5,9
A. Vienna Res.,,,,,,
A.Baiardo,Italy,,,6,26.8,0
A.C. Garda,Italy,,23,11,21.8,2
A.I.S.,Australia,,,1,,0
A.Sebatspor,Turkey,3.Lig Grup 1,,1,41.0,0
AA La Louviere,Belgium,Beker van Belgie,,0,,
AA Portuguesa,Brazil,Copa do Brasil,900,34,26.4,0
ABC FC,Brazil,Copa do Brasil,1.22,30,23.8,1
AC Ajaccio,France,Ligue 2,15.80,25,26.6,10
AC Amiens,France,Coupe de France,,27,24.9,8
AC Arles-Avignon,,,,,,
AC Bayeux,,,,,,
AC Bellinzona,Switzerland,Promotion League,2.34,31,23.8,13
AC Cambrai,France,Coupe de France,,22,29.2,2
AC Carpenedolo,Italy,Play-off/out Lega Pro 2a Divisione,23,7,24.9,0
AC Cesena,Italy,Campionato nazionale Under 17 - B,,21,16.9,3
AC Crevalcore,Italy,Serie C - Girone A,,2,23.0,0
AC Fiorentina,Italy,Serie A,213.30,25,26.8,17
AC Firenze Rondinella,Italy,,,1,24.0,0
AC Horsens,Denmark,1.Division,5.22,21,25.2,6
AC Le Havre,France,Ligue 2,18.41,26,24.1,10
AC Loanesi,Italy,,,3,25.0,0
AC Merlan Lome,Togo,,,0,,
AC Mezzocorona,Italy,Serie D - Girone C,,5,26.4,0
AC Milan Youth,Italy,UEFA Youth League,383,17,18.2,5
AC Milan,Italy,Serie A,432.09,27,26.7,20
AC Montichiari,Italy,Serie D - Girone B,,3,31.3,0
AC Oulu,Finland,Liigacup,1.90,24,23.0,7
AC Parma,,,,,,
AC Perugia,Italy,Serie B,14.13,26,26.0,5
AC Pisa,Italy,Primavera 2b,90,26,18.1,4
AC Reggiana,Italy,Serie C - Girone B,6.35,27,28.8,0
AC Scafatese,Italy,Serie D - Girone H,153,24,28.7,2
AC Siena,,,,,,
AC Thiene,Italy,,45,2,20.0,0
AC Tripoli,Lebanon,Leb. Premier League,495,32,29.3,3
AC Venezia 1907,,,,,,
AC Vila Meã,Portugal,Taça de Portugal Placard,45,15,28.0,2
ACD GT,Italy,,,2,23.5,1
ACF Fiorentina,Italy,Serie A,213.30,25,26.8,17
