from club,to club,league,player name,age,position,fee,transfer type,period,year,season,tranfer between
RSC Anderlecht,Chelsea FC,Premier League,Romelu Lukaku,18,Centre-Forward,13.5M,sold,Summer,2011,2011/2012,international
Chelsea FC,Everton FC,Premier League,Romelu Lukaku,20,Centre-Forward,3.15M,on loan,Summer,2013,2013/2014,local
Chelsea FC,Everton FC,Premier League,Romelu Lukaku,21,Centre-Forward,31.82M,sold,Summer,2014,2014/2015,local
Everton FC,Manchester United,Premier League,Romelu Lukaku,24,Centre-Forward,76.23M,sold,Summer,2017,2017/2018,local
Manchester United,FC Internazionale,Premier League,Romelu Lukaku,26,Centre-Forward,66.6M,sold,Summer,2019,2019/2020,international
Manchester United,Inter Milan,Serie A,Romelu Lukaku,26,Centre-Forward,66.6M,sold,Summer,2019,2019/2020,international
FC Internazionale,Chelsea FC,Premier League,Romelu Lukaku,28,Centre-Forward,103.5M,sold,Summer,2021,2021/2022,international
Inter Milan,Chelsea FC,Serie A,Romelu Lukaku,28,Centre-Forward,103.5M,sold,Summer,2021,2021/2022,international
Santos FC,FC Barcelona,Primera Division,Neymar,21,Left Winger,79.2M,sold,Summer,2013,2013/2014,international
FC Barcelona,Paris Saint-Germain,Primera Division,Neymar,25,Left Winger,199.8M,sold,Summer,2017,2017/2018,international
Sporting CP,Manchester United,Premier League,Cristiano Ronaldo,18,Centre-Forward,17.1M,sold,Summer,2003,2003/2004,international
Manchester United,Real Madrid,Premier League,Cristiano Ronaldo,24,Centre-Forward,84.6M,sold,Summer,2009,2009/2010,international
Real Madrid,Juventus FC,Serie A,Cristiano Ronaldo,33,Centre-Forward,105.3M,sold,Summer,2018,2018/2019,international
Juventus FC,Manchester United,Premier League,Cristiano Ronaldo,36,Centre-Forward,13.5M,sold,Summer,2021,2021/2022,international
Real Madrid,Juventus FC,Serie A,Álvaro Morata,21,Centre-Forward,18.0M,sold,Summer,2014,2014/2015,international
Juventus FC,Real Madrid,Serie A,Álvaro Morata,23,Centre-Forward,27.0M,sold,Summer,2016,2016/2017,international
Real Madrid,Chelsea FC,Premier League,Álvaro Morata,24,Centre-Forward,59.4M,sold,Summer,2017,2017/2018,international
Chelsea FC,Atlético de Madrid,Premier League,Álvaro Morata,26,Centre-Forward,16.2M,on loan,Winter,2018,2018/2019,international
Atlético de Madrid,Juventus FC,Serie A,Álvaro Morata,27,Centre-Forward,18.0M,on loan,Summer,2020,2020/2021,international
Chelsea FC,Atlético de Madrid,Premier League,Álvaro Morata,27,Centre-Forward,31.5M,sold,Summer,2020,2020/2021,international
Rosario Central,SL Benfica,Liga Nos,Ángel Di María,19,Right Winger,7.2M,sold,Summer,2007,2007/2008,international
SL Benfica,Real Madrid,Primera Division,Ángel Di María,22,Right Winger,29.7M,sold,Summer,2010,2010/2011,international
