from club,to club,league,player name,age,position,fee,transfer type,period,year,season,tranfer between
Ajax Amsterdam,FC Barcelona,Primera Division,Frank de Boer,28,Centre-Back,6.75M,sold,Winter,1998,1998/1999,international
Ajax Amsterdam,FC Barcelona,Primera Division,Ronald de Boer,28,Right Winger,6.75M,sold,Winter,1998,1998/1999,international
Ajax Amsterdam,FC Barcelona,Primera Division,Jari Litmanen,28,Attacking Midfield,3.6M,sold,Summer,1999,1999/2000,international
FC Barcelona,Ajax Amsterdam,Primera Division,Gabri,27,Defensive Midfield,NA,sold,Summer,2006,2006/2007,international
FC Barcelona,Ajax Amsterdam,Primera Division,Oleguer,28,Centre-Back,2.7M,sold,Summer,2008,2008/2009,international
FC Barcelona,Ajax Amsterdam,Primera Division,Isaac Cuenca,21,Left Winger,NA,on loan,Winter,2012,2012/2013,international
Ajax Amsterdam,FC Barcelona,Primera Division,Isaac Cuenca,22,Left Winger,NA,on loan,Summer,2013,2013/2014,international
FC Barcelona,Ajax Amsterdam,Primera Division,Bojan Krkic,22,Second Striker,NA,on loan,Summer,2013,2013/2014,international
Ajax Amsterdam,FC Barcelona,Primera Division,Bojan Krkic,23,Second Striker,NA,on loan,Summer,2014,2014/2015,international
FC Barcelona,Ajax Amsterdam,Eredivisie,André Onana,18,Goalkeeper,0.135M,sold,Winter,2014,2014/2015,international
Ajax Amsterdam,FC Barcelona,Primera Division,Jasper Cillessen,27,Goalkeeper,11.7M,sold,Summer,2016,2016/2017,international
Ajax Amsterdam,FC Barcelona,Primera Division,Frenkie de Jong,22,Central Midfield,77.4M,sold,Summer,2019,2019/2020,international
Ajax Amsterdam,FC Barcelona,Primera Division,Sergiño Dest,19,Right-Back,18.9M,sold,Summer,2020,2020/2021,international
