from club,to club,player name,age,position,fee,transfer type,period,year,season
GD Ribeirão,SC Salgueiros,João Pedro,9,Centre-Back,NA,sold,Winter,1997,1997/1998
SC Salgueiros,CD Santa Clara,João Pedro,14,Centre-Back,NA,sold,Summer,2002,2002/2003
Boavista Y19,Boavista FC,João Pedro,16,Centre-Back,NA,sold,Summer,2004,2004/2005
Braga U19,SC Braga,João Pedro,16,Centre-Back,NA,sold,Summer,2004,2004/2005
Boavista FC,SC Beira-Mar,João Pedro,17,Centre-Back,NA,on loan,Summer,2005,2005/2006
Estoril Praia,Gil Vicente FC,João Pedro,17,Centre-Back,NA,sold,Summer,2005,2005/2006
FC Porto U19,FC Porto,João Pedro,17,Centre-Back,NA,sold,Summer,2005,2005/2006
Boavista FC,União Lamas,João Pedro,18,Centre-Back,NA,on loan,Summer,2006,2006/2007
FC Porto,Portimonense SC,João Pedro,18,Centre-Back,NA,on loan,Winter,2006,2006/2007
SC Beira-Mar,Boavista FC,João Pedro,18,Centre-Back,NA,on loan,Summer,2006,2006/2007
SC Beira-Mar,Boavista FC,João Pedro,18,Centre-Back,NA,on loan,Summer,2006,2006/2007
SC Braga,FC Penafiel,João Pedro,18,Centre-Back,NA,on loan,Summer,2006,2006/2007
Boavista FC,ASIL Lysi,João Pedro,19,Centre-Back,NA,sold,Summer,2007,2007/2008
FC Penafiel,SC Braga,João Pedro,19,Centre-Back,NA,on loan,Summer,2007,2007/2008
FC Porto,FC Penafiel,João Pedro,19,Centre-Back,NA,on loan,Summer,2007,2007/2008
Portimonense SC,FC Porto,João Pedro,19,Centre-Back,NA,on loan,Summer,2007,2007/2008
SC Braga,SC Beira-Mar,João Pedro,19,Centre-Back,NA,on loan,Summer,2007,2007/2008
União Lamas,Boavista FC,João Pedro,19,Centre-Back,NA,on loan,Summer,2007,2007/2008
FC Penafiel,FC Porto,João Pedro,20,Centre-Back,NA,on loan,Summer,2008,2008/2009
FC Porto,Gloria Bistrita,João Pedro,20,Centre-Back,NA,on loan,Summer,2008,2008/2009
SC Beira-Mar,SC Braga,João Pedro,20,Centre-Back,NA,on loan,Summer,2008,2008/2009
SC Braga,União de Leiria,João Pedro,20,Centre-Back,NA,sold,Summer,2008,2008/2009
FC Porto,Portimonense SC,João Pedro,21,Centre-Back,NA,sold,Summer,2009,2009/2010
Gloria Bistrita,FC Porto,João Pedro,21,Centre-Back,NA,on loan,Summer,2009,2009/2010
Leixões SC,Retired,João Pedro,21,Centre-Back,NA,sold,Summer,2009,2009/2010
União de Leiria,Oliveirense,João Pedro,21,Centre-Back,NA,sold,Summer,2009,2009/2010
Atlético-MG,US Palermo,João Pedro,22,Centre-Back,2.25M,sold,Summer,2010,2010/2011
Oliveirense,Naval 1º de Maio,João Pedro,22,Centre-Back,NA,sold,Summer,2010,2010/2011
Portimonense SC,Desportivo Aves,João Pedro,22,Centre-Back,NA,sold,Summer,2010,2010/2011
US Palermo,Vit. Guimarães,João Pedro,22,Centre-Back,NA,on loan,Winter,2010,2010/2011
US Palermo,Vitória Guimarães SC,João Pedro,22,Centre-Back,NA,on loan,Winter,2010,2010/2011
US Palermo,Peñarol,João Pedro,23,Centre-Back,NA,on loan,Summer,2011,2011/2012
Vitória Guimarães SC,US Palermo,João Pedro,23,Centre-Back,NA,on loan,Summer,2011,2011/2012
Desportivo Aves,GD Estoril Praia,João Pedro,24,Centre-Back,NA,sold,Summer,2012,2012/2013
Naval 1º de Maio,SC Braga,João Pedro,24,Centre-Back,0.09M,sold,Winter,2012,2012/2013
US Palermo,Desp. Brasil,João Pedro,24,Centre-Back,NA,sold,Summer,2012,2012/2013
Desp. Brasil,GD Estoril Praia,João Pedro,25,Centre-Back,NA,on loan,Summer,2013,2013/2014
Gil Vicente FC,FC Penafiel,João Pedro,25,Centre-Back,NA,sold,Summer,2013,2013/2014
SC Braga,Belenenses SAD,João Pedro,25,Centre-Back,NA,on loan,Summer,2013,2013/2014
Belenenses SAD,SC Braga,João Pedro,26,Centre-Back,NA,on loan,Summer,2014,2014/2015
Desp. Brasil,GD Estoril Praia,João Pedro,26,Centre-Back,NA,sold,Summer,2014,2014/2015
Estoril Praia,Cagliari Calcio,João Pedro,26,Centre-Back,1.17M,sold,Summer,2014,2014/2015
Estoril Praia,FC Penafiel,João Pedro,26,Centre-Back,NA,sold,Summer,2014,2014/2015
FC Penafiel,FC Famalicão,João Pedro,26,Centre-Back,NA,sold,Summer,2014,2014/2015
FC Penafiel,Moreirense FC,João Pedro,26,Centre-Back,NA,sold,Winter,2014,2014/2015
FC Penafiel,Moreirense FC,João Pedro,26,Centre-Back,NA,sold,Winter,2014,2014/2015
GD Estoril Praia,Cagliari Calcio,João Pedro,26,Centre-Back,1.17M,sold,Summer,2014,2014/2015
GD Estoril Praia,Desp. Brasil,João Pedro,26,Centre-Back,NA,on loan,Summer,2014,2014/2015
GD Estoril Praia,FC Penafiel,João Pedro,26,Centre-Back,NA,sold,Summer,2014,2014/2015
SC Braga,Moreirense FC,João Pedro,26,Centre-Back,NA,on loan,Summer,2014,2014/2015
SC Braga,Moreirense FC,João Pedro,26,Centre-Back,NA,on loan,Summer,2014,2014/2015
Guimarães B,Vitória Guimarães SC,João Pedro,27,Centre-Back,NA,sold,Summer,2015,2015/2016
Moreirense FC,FC Famalicão,João Pedro,27,Centre-Back,NA,sold,Summer,2015,2015/2016
Moreirense FC,SC Braga,João Pedro,27,Centre-Back,NA,on loan,Summer,2015,2015/2016
Moreirense FC,SC Braga,João Pedro,27,Centre-Back,NA,on loan,Summer,2015,2015/2016
SC Braga,Apol. Limassol,João Pedro,27,Centre-Back,NA,on loan,Summer,2015,2015/2016
Apol. Limassol,SC Braga,João Pedro,28,Centre-Back,NA,on loan,Summer,2016,2016/2017
SC Braga,Apol. Limassol,João Pedro,28,Centre-Back,NA,sold,Summer,2016,2016/2017
Vitória Guimarães SC,Los Angeles,João Pedro,28,Centre-Back,1.31M,sold,Winter,2016,2016/2017
Desportivo Aves,CD Santa Clara,João Pedro,29,Centre-Back,NA,sold,Summer,2017,2017/2018
CD Santa Clara,Estoril Praia,João Pedro,30,Centre-Back,NA,sold,Summer,2018,2018/2019
FC Porto,FC Porto B,João Pedro,30,Centre-Back,NA,sold,Winter,2018,2018/2019
Los Angeles,CD Tondela,João Pedro,30,Centre-Back,NA,on loan,Winter,2018,2018/2019
Palmeiras,FC Porto,João Pedro,30,Centre-Back,3.6M,sold,Summer,2018,2018/2019
CD Tondela,Los Angeles,João Pedro,31,Centre-Back,NA,on loan,Winter,2019,2019/2020
Fluminense,Watford FC,João Pedro,31,Centre-Back,3.6M,sold,Winter,2019,2019/2020
Guimarães B,Vitória Guimarães SC,João Pedro,31,Centre-Back,NA,sold,Winter,2019,2019/2020
Los Angeles,CD Tondela,João Pedro,31,Centre-Back,NA,sold,Winter,2019,2019/2020
Vit. Guimarães,FC Paços de Ferreira,João Pedro,32,Centre-Back,NA,sold,Summer,2020,2020/2021
Vitória Guimarães SC,Paços Ferreira,João Pedro,32,Centre-Back,NA,sold,Summer,2020,2020/2021
FC Vizela,Retired,João Pedro,33,Centre-Back,NA,sold,Summer,2021,2021/2022
Real Madrid C,Real Valladolid CF,Fernando,16,Attacking Midfield,NA,sold,Summer,1995,1995/1996
SD Huesca,SC Farense,Fernando,17,Attacking Midfield,NA,sold,Summer,1996,1996/1997
Real Valladolid CF,Real Betis Balompié,Fernando,18,Attacking Midfield,NA,sold,Summer,1997,1997/1998
Real Valladolid CF,Real Betis Balompié,Fernando,18,Attacking Midfield,NA,sold,Summer,1997,1997/1998
SC Farense,Terrassa FC,Fernando,18,Attacking Midfield,NA,sold,Summer,1997,1997/1998
Valencia CF,Wolves,Fernando,19,Attacking Midfield,NA,sold,Summer,1998,1998/1999
Real Betis Balompié,Dep. La Coruña,Fernando,20,Attacking Midfield,NA,sold,Summer,1999,1999/2000
Real Betis Balompié,Deportivo de La Coruña,Fernando,20,Attacking Midfield,NA,sold,Summer,1999,1999/2000
Real Madrid B,Real Madrid,Fernando,20,Attacking Midfield,NA,sold,Winter,1999,1999/2000
Marítimo B,CS Marítimo,Fernando,21,Attacking Midfield,NA,sold,Summer,2000,2000/2001
Real Madrid,Real Valladolid CF,Fernando,21,Attacking Midfield,NA,on loan,Summer,2000,2000/2001
Real Madrid,Real Valladolid CF,Fernando,21,Attacking Midfield,NA,on loan,Summer,2000,2000/2001
Dep. La Coruña,CA Osasuna,Fernando,22,Attacking Midfield,NA,on loan,Summer,2001,2001/2002
Deportivo de La Coruña,CA Osasuna,Fernando,22,Attacking Midfield,NA,on loan,Summer,2001,2001/2002
Real Valladolid CF,Real Madrid,Fernando,22,Attacking Midfield,NA,on loan,Summer,2001,2001/2002
Real Valladolid CF,Real Madrid,Fernando,22,Attacking Midfield,NA,on loan,Summer,2001,2001/2002
Anápolis-GO,Varzim SC,Fernando,23,Attacking Midfield,NA,sold,Summer,2002,2002/2003
CA Osasuna,Dep. La Coruña,Fernando,23,Attacking Midfield,NA,on loan,Summer,2002,2002/2003
CA Osasuna,Deportivo de La Coruña,Fernando,23,Attacking Midfield,NA,on loan,Summer,2002,2002/2003
Dep. La Coruña,Hannover 96,Fernando,23,Attacking Midfield,NA,on loan,Summer,2002,2002/2003
Deportivo de La Coruña,Hannover 96,Fernando,23,Attacking Midfield,NA,on loan,Summer,2002,2002/2003
Real Madrid,Real Betis Balompié,Fernando,23,Attacking Midfield,NA,sold,Summer,2002,2002/2003
Real Madrid,Real Betis Balompié,Fernando,23,Attacking Midfield,NA,sold,Summer,2002,2002/2003
Deportivo de La Coruña,Córdoba CF,Fernando,24,Attacking Midfield,NA,on loan,Summer,2003,2003/2004
Flamengo,TSV 1860 Munich,Fernando,24,Attacking Midfield,1.08M,sold,Winter,2003,2003/2004
Hannover 96,Dep. La Coruña,Fernando,24,Attacking Midfield,NA,on loan,Summer,2003,2003/2004
Hannover 96,Deportivo de La Coruña,Fernando,24,Attacking Midfield,NA,on loan,Summer,2003,2003/2004
Juventude,AC Siena,Fernando,24,Attacking Midfield,NA,sold,Summer,2003,2003/2004
AC Siena,Calcio Catania,Fernando,25,Attacking Midfield,NA,on loan,Winter,2004,2004/2005
Córdoba CF,Deportivo de La Coruña,Fernando,25,Attacking Midfield,NA,on loan,Summer,2004,2004/2005
